"","Japanese_Name","Pokedex_Number","Classfication","Generation","Region","Is_Legendary","Type_1","Type_2","Abiity_1","Abiity_2","Abiity_3","Abiity_4","Abiity_5","Abiity_6","Against_Bug","Against_Dark","Against_Dragon","Against_Electric","Against_Fairy","Against_Fight","Against_Fire","Against_Flying","Against_Ghost","Against_Grass","Against_Ground","Against_Ice","Against_Normal","Against_Poison","Against_Psychic","Against_Rock","Against_Steel","Against_Water","Hp","Height_m","Weight_Kg","Attack","Defense","Sp_Attack","Sp_Defense","Speed","Region.1","Base_Egg_Steps","Experience_Growth","Base_Happiness","Base_Total","Capture_Rate"
"Golbat","Golbat<U+30B4><U+30EB><U+30D0><U+30C3><U+30C8>",42,"Bat Pokémon","I","Kanto",0,"Poison","Flying","Inner Focus"," Infiltrator",NA,NA,NA,NA,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,75,1.6,55,80,70,65,75,90,"Kanto",3840,1000000,70,455,"90"
"Oddish","Nazonokusa<U+30CA><U+30BE><U+30CE><U+30AF><U+30B5>",43,"Weed Pokémon","I","Kanto",0,"Grass","Poison","Chlorophyll"," Run Away",NA,NA,NA,NA,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,45,0.5,5.4,50,55,75,65,30,"Kanto",5120,1059860,70,320,"255"
"Gloom","Kusaihana<U+30AF><U+30B5><U+30A4><U+30CF><U+30CA>",44,"Weed Pokémon","I","Kanto",0,"Grass","Poison","Chlorophyll"," Stench",NA,NA,NA,NA,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,60,0.8,8.6,65,70,85,75,40,"Kanto",5120,1059860,70,395,"120"
"Vileplume","Ruffresia<U+30E9><U+30D5><U+30EC><U+30B7><U+30A2>",45,"Flower Pokémon","I","Kanto",0,"Grass","Poison","Chlorophyll"," Effect Spore",NA,NA,NA,NA,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,75,1.2,18.6,80,85,110,90,50,"Kanto",5120,1059860,70,490,"45"
"Paras","Paras<U+30D1><U+30E9><U+30B9>",46,"Mushroom Pokémon","I","Kanto",0,"Bug","Grass","Effect Spore"," Dry Skin"," Damp",NA,NA,NA,2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,35,0.3,5.4,70,55,45,55,25,"Kanto",5120,1000000,70,285,"190"
"Parasect","Parasect<U+30D1><U+30E9><U+30BB><U+30AF><U+30C8>",47,"Mushroom Pokémon","I","Kanto",0,"Bug","Grass","Effect Spore"," Dry Skin"," Damp",NA,NA,NA,2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,60,1,29.5,95,80,60,80,30,"Kanto",5120,1000000,70,405,"75"
"Venonat","Kongpang<U+30B3><U+30F3><U+30D1><U+30F3>",48,"Insect Pokémon","I","Kanto",0,"Bug","Poison","Compoundeyes"," Tinted Lens"," Run Away",NA,NA,NA,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,60,1,30,55,50,40,55,45,"Kanto",5120,1000000,70,305,"190"
"Venomoth","Morphon<U+30E2><U+30EB><U+30D5><U+30A9><U+30F3>",49,"Poison Moth Pokémon","I","Kanto",0,"Bug","Poison","Shield Dust"," Tinted Lens"," Wonder Skin ",NA,NA,NA,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,70,1.5,12.5,65,60,90,75,90,"Kanto",5120,1000000,70,450,"75"
"Diglett","Digda<U+30C7><U+30A3><U+30B0><U+30C0>",50,"Mole Pokémon","I","Kanto",0,"Ground","Ground","Sand Veil"," Arena Trap"," Sand Force"," Sand Veil"," Tangling Hair"," Sand Force",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,10,0.2,0.8,55,30,35,45,90,"Kanto",5120,1000000,70,265,"255"
"Dugtrio","Dugtrio<U+30C0><U+30B0><U+30C8><U+30EA><U+30AA>",51,"Mole Pokémon","I","Kanto",0,"Ground","Ground","Sand Veil"," Arena Trap"," Sand Force"," Sand Veil"," Tangling Hair"," Sand Force",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,35,0.7,33.3,100,60,50,70,110,"Kanto",5120,1000000,70,425,"50"
"Meowth","Nyarth<U+30CB><U+30E3><U+30FC><U+30B9>",52,"Scratch Cat Pokémon","I","Kanto",0,"Normal","Dark","Pickup"," Technician"," Unnerve"," Pickup"," Technician"," Rattled",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,40,0.4,4.2,35,35,50,40,90,"Kanto",5120,1000000,70,290,"255"
"Persian","Persian<U+30DA><U+30EB><U+30B7><U+30A2><U+30F3>",53,"Classy Cat Pokémon","I","Kanto",0,"Normal","Dark","Limber"," Technician"," Unnerve"," Fur Coat"," Technician"," Rattled",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,65,1,32,60,60,75,65,115,"Kanto",5120,1000000,70,440,"90"
"Psyduck","Koduck<U+30B3><U+30C0><U+30C3><U+30AF>",54,"Duck Pokémon","I","Kanto",0,"Water","None","Damp"," Cloud Nine"," Swift Swim",NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,0.8,19.6,52,48,65,50,55,"Kanto",5120,1000000,70,320,"190"
"Golduck","Golduck<U+30B4><U+30EB><U+30C0><U+30C3><U+30AF>",55,"Duck Pokémon","I","Kanto",0,"Water","None","Damp"," Cloud Nine"," Swift Swim",NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,80,1.7,76.6,82,78,95,80,85,"Kanto",5120,1000000,70,500,"75"
"Mankey","Mankey<U+30DE><U+30F3><U+30AD><U+30FC>",56,"Pig Monkey Pokémon","I","Kanto",0,"Fighting","None","Vital Spirit"," Anger Point"," Defiant",NA,NA,NA,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,40,0.5,28,80,35,35,45,70,"Kanto",5120,1000000,70,305,"190"
"Primeape","Okorizaru<U+30AA><U+30B3><U+30EA><U+30B6><U+30EB>",57,"Pig Monkey Pokémon","I","Kanto",0,"Fighting","None","Vital Spirit"," Anger Point"," Defiant",NA,NA,NA,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,65,1,32,105,60,60,70,95,"Kanto",5120,1000000,70,455,"75"
"Growlithe","Gardie<U+30AC><U+30FC><U+30C7><U+30A3>",58,"Puppy Pokémon","I","Kanto",0,"Fire","None","Intimidate"," Flash Fire"," Justified",NA,NA,NA,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,55,0.7,19,70,45,70,50,60,"Kanto",5120,1250000,70,350,"190"
"Arcanine","Windie<U+30A6><U+30A4><U+30F3><U+30C7><U+30A3>",59,"Legendary Pokémon","I","Kanto",0,"Fire","None","Intimidate"," Flash Fire"," Justified",NA,NA,NA,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,90,1.9,155,110,80,100,80,95,"Kanto",5120,1250000,70,555,"75"
"Poliwag","Nyoromo<U+30CB><U+30E7><U+30ED><U+30E2>",60,"Tadpole Pokémon","I","Kanto",0,"Water","None","Water Absorb"," Damp"," Swift Swim",NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,40,0.6,12.4,50,40,40,40,90,"Kanto",5120,1059860,70,300,"255"
"Poliwhirl","Nyorozo<U+30CB><U+30E7><U+30ED><U+30BE>",61,"Tadpole Pokémon","I","Kanto",0,"Water","None","Water Absorb"," Damp"," Swift Swim",NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,1,20,65,65,50,50,90,"Kanto",5120,1059860,70,385,"120"
"Poliwrath","Nyorobon<U+30CB><U+30E7><U+30ED><U+30DC><U+30F3>",62,"Tadpole Pokémon","I","Kanto",0,"Water","Fighting","Water Absorb"," Damp"," Swift Swim",NA,NA,NA,0.5,0.5,1,2,2,1,0.5,2,1,2,1,0.5,1,1,2,0.5,0.5,0.5,90,1.3,54,95,95,70,90,70,"Kanto",5120,1059860,70,510,"45"
"Abra","Casey<U+30B1><U+30FC><U+30B7><U+30A3>",63,"Psi Pokémon","I","Kanto",0,"Psychic","None","Synchronize"," Inner Focus"," Magic Guard",NA,NA,NA,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,25,0.9,19.5,20,15,105,55,90,"Kanto",5120,1059860,70,310,"200"
"Kadabra","Yungerer<U+30E6><U+30F3><U+30B2><U+30E9><U+30FC>",64,"Psi Pokémon","I","Kanto",0,"Psychic","None","Synchronize"," Inner Focus"," Magic Guard",NA,NA,NA,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,40,1.3,56.5,35,30,120,70,105,"Kanto",5120,1059860,70,400,"100"
"Alakazam","Foodin<U+30D5><U+30FC><U+30C7><U+30A3><U+30F3>",65,"Psi Pokémon","I","Kanto",0,"Psychic","None","Synchronize"," Inner Focus"," Magic Guard",NA,NA,NA,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,55,1.5,48,50,65,175,105,150,"Kanto",5120,1059860,70,600,"50"
"Machop","Wanriky<U+30EF><U+30F3><U+30EA><U+30AD><U+30FC>",66,"Superpower Pokémon","I","Kanto",0,"Fighting","None","Guts"," No Guard"," Steadfast",NA,NA,NA,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,70,0.8,19.5,80,50,35,35,35,"Kanto",5120,1059860,70,305,"180"
"Machoke","Goriky<U+30B4><U+30FC><U+30EA><U+30AD><U+30FC>",67,"Superpower Pokémon","I","Kanto",0,"Fighting","None","Guts"," No Guard"," Steadfast",NA,NA,NA,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,80,1.5,70.5,100,70,50,60,45,"Kanto",5120,1059860,70,405,"90"
"Machamp","Kairiky<U+30AB><U+30A4><U+30EA><U+30AD><U+30FC>",68,"Superpower Pokémon","I","Kanto",0,"Fighting","None","Guts"," No Guard"," Steadfast",NA,NA,NA,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,90,1.6,130,130,80,65,85,55,"Kanto",5120,1059860,70,505,"45"
"Bellsprout","Madatsubomi<U+30DE><U+30C0><U+30C4><U+30DC><U+30DF>",69,"Flower Pokémon","I","Kanto",0,"Grass","Poison","Chlorophyll"," Gluttony",NA,NA,NA,NA,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,50,0.7,4,75,35,70,30,40,"Kanto",5120,1059860,70,300,"255"
"Weepinbell","Utsudon<U+30A6><U+30C4><U+30C9><U+30F3>",70,"Flycatcher Pokémon","I","Kanto",0,"Grass","Poison","Chlorophyll"," Gluttony",NA,NA,NA,NA,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,65,1,6.4,90,50,85,45,55,"Kanto",5120,1059860,70,390,"120"
"Victreebel","Utsubot<U+30A6><U+30C4><U+30DC><U+30C3><U+30C8>",71,"Flycatcher Pokémon","I","Kanto",0,"Grass","Poison","Chlorophyll"," Gluttony",NA,NA,NA,NA,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,80,1.7,15.5,105,65,100,70,70,"Kanto",5120,1059860,70,490,"45"
"Tentacool","Menokurage<U+30E1><U+30CE><U+30AF><U+30E9><U+30B2>",72,"Jellyfish Pokémon","I","Kanto",0,"Water","Poison","Clear Body"," Liquid Ooze"," Rain Dish",NA,NA,NA,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,40,0.9,45.5,40,35,50,100,70,"Kanto",5120,1250000,70,335,"190"
