"","Pokedex_Number","Classfication","Generation","Region","Is_Legendary","Type_1","Type_2","Ability_1","Ability_2","Ability_3","Ability_4","Ability_5","Ability_6","Against_Bug","Against_Dark","Against_Dragon","Against_Electric","Against_Fairy","Against_Fight","Against_Fire","Against_Flying","Against_Ghost","Against_Grass","Against_Ground","Against_Ice","Against_Normal","Against_Poison","Against_Psychic","Against_Rock","Against_Steel","Against_Water","Hp","Height_m","Weight_Kg","Attack","Defense","Sp_Attack","Sp_Defense","Speed","Base_Egg_Steps","Experience_Growth","Base_Happiness","Base_Total","Capture_Rate"
"Sandshrew",27,"Mouse Pokémon","I","Kanto",0,"Ground","Ice","Sand Veil"," Sand Rush"," Snow Cloak"," Slush Rush",NA,NA,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,50,0.6,12,75,90,10,35,40,5120,1000000,70,300,255
"Sandslash",28,"Mouse Pokémon","I","Kanto",0,"Ground","Ice","Sand Veil"," Sand Rush"," Snow Cloak"," Slush Rush",NA,NA,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,75,1,29.5,100,120,25,65,65,5120,1000000,70,450,90
"Nidoran<U+2640>",29,"Poison Pin Pokémon","I","Kanto",0,"Poison","None","Poison Point"," Rivalry"," Hustle",NA,NA,NA,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,55,0.4,7,47,52,40,40,41,5120,1059860,70,275,235
"Nidorina",30,"Poison Pin Pokémon","I","Kanto",0,"Poison","None","Poison Point"," Rivalry"," Hustle",NA,NA,NA,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,70,0.8,20,62,67,55,55,56,5120,1059860,70,365,120
"Nidoqueen",31,"Drill Pokémon","I","Kanto",0,"Poison","Ground","Poison Point"," Rivalry"," Sheer Force",NA,NA,NA,0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,90,1.3,60,92,87,75,85,76,5120,1059860,70,505,45
"Nidoran<U+2642>",32,"Poison Pin Pokémon","I","Kanto",0,"Poison","None","Poison Point"," Rivalry"," Hustle",NA,NA,NA,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,46,0.5,9,57,40,40,40,50,5120,1059860,70,273,235
"Nidorino",33,"Poison Pin Pokémon","I","Kanto",0,"Poison","None","Poison Point"," Rivalry"," Hustle",NA,NA,NA,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,61,0.9,19.5,72,57,55,55,65,5120,1059860,70,365,120
"Nidoking",34,"Drill Pokémon","I","Kanto",0,"Poison","Ground","Poison Point"," Rivalry"," Sheer Force",NA,NA,NA,0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,81,1.4,62,102,77,85,75,85,5120,1059860,70,505,45
"Clefairy",35,"Fairy Pokémon","I","Kanto",0,"Fairy","None","Cute Charm"," Magic Guard"," Friend Guard",NA,NA,NA,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,70,0.6,7.5,45,48,60,65,35,2560,800000,140,323,150
"Clefable",36,"Fairy Pokémon","I","Kanto",0,"Fairy","None","Cute Charm"," Magic Guard"," Unaware",NA,NA,NA,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,95,1.3,40,70,73,95,90,60,2560,800000,140,483,25
"Vulpix",37,"Fox Pokémon","I","Kanto",0,"Fire","Ice","Flash Fire"," Drought"," Snow Cloak"," Snow Warning",NA,NA,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,38,0.6,9.9,41,40,50,65,65,5120,1000000,70,299,190
"Ninetales",38,"Fox Pokémon","I","Kanto",0,"Fire","Ice","Flash Fire"," Drought"," Snow Cloak"," Snow Warning",NA,NA,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,73,1.1,19.9,67,75,81,100,109,5120,1000000,70,505,75
"Jigglypuff",39,"Balloon Pokémon","I","Kanto",0,"Normal","Fairy","Cute Charm"," Competitive"," Friend Guard",NA,NA,NA,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,115,0.5,5.5,45,20,45,25,20,2560,800000,70,270,170
"Wigglytuff",40,"Balloon Pokémon","I","Kanto",0,"Normal","Fairy","Cute Charm"," Competitive"," Frisk",NA,NA,NA,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,140,1,12,70,45,85,50,45,2560,800000,70,435,50
"Zubat",41,"Bat Pokémon","I","Kanto",0,"Poison","Flying","Inner Focus"," Infiltrator",NA,NA,NA,NA,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,40,0.8,7.5,45,35,30,40,55,3840,1000000,70,245,255
"Golbat",42,"Bat Pokémon","I","Kanto",0,"Poison","Flying","Inner Focus"," Infiltrator",NA,NA,NA,NA,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,75,1.6,55,80,70,65,75,90,3840,1000000,70,455,90
"Oddish",43,"Weed Pokémon","I","Kanto",0,"Grass","Poison","Chlorophyll"," Run Away",NA,NA,NA,NA,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,45,0.5,5.4,50,55,75,65,30,5120,1059860,70,320,255
"Gloom",44,"Weed Pokémon","I","Kanto",0,"Grass","Poison","Chlorophyll"," Stench",NA,NA,NA,NA,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,60,0.8,8.6,65,70,85,75,40,5120,1059860,70,395,120
"Vileplume",45,"Flower Pokémon","I","Kanto",0,"Grass","Poison","Chlorophyll"," Effect Spore",NA,NA,NA,NA,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,75,1.2,18.6,80,85,110,90,50,5120,1059860,70,490,45
"Paras",46,"Mushroom Pokémon","I","Kanto",0,"Bug","Grass","Effect Spore"," Dry Skin"," Damp",NA,NA,NA,2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,35,0.3,5.4,70,55,45,55,25,5120,1000000,70,285,190
"Parasect",47,"Mushroom Pokémon","I","Kanto",0,"Bug","Grass","Effect Spore"," Dry Skin"," Damp",NA,NA,NA,2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,60,1,29.5,95,80,60,80,30,5120,1000000,70,405,75
"Venonat",48,"Insect Pokémon","I","Kanto",0,"Bug","Poison","Compoundeyes"," Tinted Lens"," Run Away",NA,NA,NA,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,60,1,30,55,50,40,55,45,5120,1000000,70,305,190
"Venomoth",49,"Poison Moth Pokémon","I","Kanto",0,"Bug","Poison","Shield Dust"," Tinted Lens"," Wonder Skin ",NA,NA,NA,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,70,1.5,12.5,65,60,90,75,90,5120,1000000,70,450,75
"Diglett",50,"Mole Pokémon","I","Kanto",0,"Ground","Ground","Sand Veil"," Arena Trap"," Sand Force"," Sand Veil"," Tangling Hair"," Sand Force",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,10,0.2,0.8,55,30,35,45,90,5120,1000000,70,265,255
"Dugtrio",51,"Mole Pokémon","I","Kanto",0,"Ground","Ground","Sand Veil"," Arena Trap"," Sand Force"," Sand Veil"," Tangling Hair"," Sand Force",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,35,0.7,33.3,100,60,50,70,110,5120,1000000,70,425,50
"Meowth",52,"Scratch Cat Pokémon","I","Kanto",0,"Normal","Dark","Pickup"," Technician"," Unnerve"," Pickup"," Technician"," Rattled",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,40,0.4,4.2,35,35,50,40,90,5120,1000000,70,290,255
"Persian",53,"Classy Cat Pokémon","I","Kanto",0,"Normal","Dark","Limber"," Technician"," Unnerve"," Fur Coat"," Technician"," Rattled",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,65,1,32,60,60,75,65,115,5120,1000000,70,440,90
"Psyduck",54,"Duck Pokémon","I","Kanto",0,"Water","None","Damp"," Cloud Nine"," Swift Swim",NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,0.8,19.6,52,48,65,50,55,5120,1000000,70,320,190
"Golduck",55,"Duck Pokémon","I","Kanto",0,"Water","None","Damp"," Cloud Nine"," Swift Swim",NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,80,1.7,76.6,82,78,95,80,85,5120,1000000,70,500,75
"Mankey",56,"Pig Monkey Pokémon","I","Kanto",0,"Fighting","None","Vital Spirit"," Anger Point"," Defiant",NA,NA,NA,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,40,0.5,28,80,35,35,45,70,5120,1000000,70,305,190
"Primeape",57,"Pig Monkey Pokémon","I","Kanto",0,"Fighting","None","Vital Spirit"," Anger Point"," Defiant",NA,NA,NA,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,65,1,32,105,60,60,70,95,5120,1000000,70,455,75
"Growlithe",58,"Puppy Pokémon","I","Kanto",0,"Fire","None","Intimidate"," Flash Fire"," Justified",NA,NA,NA,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,55,0.7,19,70,45,70,50,60,5120,1250000,70,350,190
"Arcanine",59,"Legendary Pokémon","I","Kanto",0,"Fire","None","Intimidate"," Flash Fire"," Justified",NA,NA,NA,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,90,1.9,155,110,80,100,80,95,5120,1250000,70,555,75
"Poliwag",60,"Tadpole Pokémon","I","Kanto",0,"Water","None","Water Absorb"," Damp"," Swift Swim",NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,40,0.6,12.4,50,40,40,40,90,5120,1059860,70,300,255
"Poliwhirl",61,"Tadpole Pokémon","I","Kanto",0,"Water","None","Water Absorb"," Damp"," Swift Swim",NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,1,20,65,65,50,50,90,5120,1059860,70,385,120
"Poliwrath",62,"Tadpole Pokémon","I","Kanto",0,"Water","Fighting","Water Absorb"," Damp"," Swift Swim",NA,NA,NA,0.5,0.5,1,2,2,1,0.5,2,1,2,1,0.5,1,1,2,0.5,0.5,0.5,90,1.3,54,95,95,70,90,70,5120,1059860,70,510,45
"Abra",63,"Psi Pokémon","I","Kanto",0,"Psychic","None","Synchronize"," Inner Focus"," Magic Guard",NA,NA,NA,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,25,0.9,19.5,20,15,105,55,90,5120,1059860,70,310,200
"Kadabra",64,"Psi Pokémon","I","Kanto",0,"Psychic","None","Synchronize"," Inner Focus"," Magic Guard",NA,NA,NA,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,40,1.3,56.5,35,30,120,70,105,5120,1059860,70,400,100
"Alakazam",65,"Psi Pokémon","I","Kanto",0,"Psychic","None","Synchronize"," Inner Focus"," Magic Guard",NA,NA,NA,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,55,1.5,48,50,65,175,105,150,5120,1059860,70,600,50
"Machop",66,"Superpower Pokémon","I","Kanto",0,"Fighting","None","Guts"," No Guard"," Steadfast",NA,NA,NA,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,70,0.8,19.5,80,50,35,35,35,5120,1059860,70,305,180
"Machoke",67,"Superpower Pokémon","I","Kanto",0,"Fighting","None","Guts"," No Guard"," Steadfast",NA,NA,NA,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,80,1.5,70.5,100,70,50,60,45,5120,1059860,70,405,90
"Machamp",68,"Superpower Pokémon","I","Kanto",0,"Fighting","None","Guts"," No Guard"," Steadfast",NA,NA,NA,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,90,1.6,130,130,80,65,85,55,5120,1059860,70,505,45
"Bellsprout",69,"Flower Pokémon","I","Kanto",0,"Grass","Poison","Chlorophyll"," Gluttony",NA,NA,NA,NA,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,50,0.7,4,75,35,70,30,40,5120,1059860,70,300,255
"Weepinbell",70,"Flycatcher Pokémon","I","Kanto",0,"Grass","Poison","Chlorophyll"," Gluttony",NA,NA,NA,NA,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,65,1,6.4,90,50,85,45,55,5120,1059860,70,390,120
"Victreebel",71,"Flycatcher Pokémon","I","Kanto",0,"Grass","Poison","Chlorophyll"," Gluttony",NA,NA,NA,NA,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,80,1.7,15.5,105,65,100,70,70,5120,1059860,70,490,45
"Tentacool",72,"Jellyfish Pokémon","I","Kanto",0,"Water","Poison","Clear Body"," Liquid Ooze"," Rain Dish",NA,NA,NA,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,40,0.9,45.5,40,35,50,100,70,5120,1250000,70,335,190
"Tentacruel",73,"Jellyfish Pokémon","I","Kanto",0,"Water","Poison","Clear Body"," Liquid Ooze"," Rain Dish",NA,NA,NA,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,80,1.6,55,70,65,80,120,100,5120,1250000,70,515,60
"Geodude",74,"Rock Pokémon","I","Kanto",0,"Rock","Ground","Rock Head"," Sturdy"," Sand Veil"," Magnet Pull"," Sturdy"," Galvanize",1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,40,0.4,20,80,100,30,30,20,3840,1059860,70,300,255
"Graveler",75,"Rock Pokémon","I","Kanto",0,"Rock","Ground","Rock Head"," Sturdy"," Sand Veil"," Magnet Pull"," Sturdy"," Galvanize",1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,55,0.3,105,95,115,45,45,35,3840,1059860,70,390,120
"Golem",76,"Megaton Pokémon","I","Kanto",0,"Rock","Ground","Rock Head"," Sturdy"," Sand Veil"," Magnet Pull"," Sturdy"," Galvanize",1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,80,1.4,300,120,130,55,65,45,3840,1059860,70,495,45
"Ponyta",77,"Fire Horse Pokémon","I","Kanto",0,"Fire","None","Run Away"," Flash Fire"," Flame Body",NA,NA,NA,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,50,1,30,85,55,65,65,90,5120,1000000,70,410,190
"Rapidash",78,"Fire Horse Pokémon","I","Kanto",0,"Fire","None","Run Away"," Flash Fire"," Flame Body",NA,NA,NA,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,65,1.7,95,100,70,80,80,105,5120,1000000,70,500,60
"Slowpoke",79,"Dopey Pokémon","I","Kanto",0,"Water","Psychic","Oblivious"," Own Tempo"," Regenerator",NA,NA,NA,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,90,1.2,36,65,65,40,40,15,5120,1000000,70,315,190
"Slowbro",80,"Hermit Crab Pokémon","I","Kanto",0,"Water","Psychic","Oblivious"," Own Tempo"," Regenerator",NA,NA,NA,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,95,1.6,78.5,75,180,130,80,30,5120,1000000,70,590,75
"Magnemite",81,"Magnet Pokémon","I","Kanto",0,"Electric","Steel","Magnet Pull"," Sturdy"," Analytic",NA,NA,NA,0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1,25,0.3,6,35,70,95,55,45,5120,1000000,70,325,190
"Magneton",82,"Magnet Pokémon","I","Kanto",0,"Electric","Steel","Magnet Pull"," Sturdy"," Analytic",NA,NA,NA,0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1,50,1,60,60,95,120,70,70,5120,1000000,70,465,60
"Farfetch'd",83,"Wild Duck Pokémon","I","Kanto",0,"Normal","Flying","Keen Eye"," Inner Focus"," Defiant",NA,NA,NA,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,52,0.8,15,90,55,58,62,60,5120,1000000,70,377,45
"Doduo",84,"Twin Bird Pokémon","I","Kanto",0,"Normal","Flying","Run Away"," Early Bird"," Tangled Feet",NA,NA,NA,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,35,1.4,39.2,85,45,35,35,75,5120,1000000,70,310,190
"Dodrio",85,"Triple Bird Pokémon","I","Kanto",0,"Normal","Flying","Run Away"," Early Bird"," Tangled Feet",NA,NA,NA,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,60,1.8,85.2,110,70,60,60,110,5120,1000000,70,470,45
"Seel",86,"Sea Lion Pokémon","I","Kanto",0,"Water","None","Thick Fat"," Hydration"," Ice Body",NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,1.1,90,45,55,45,70,45,5120,1000000,70,325,190
"Dewgong",87,"Sea Lion Pokémon","I","Kanto",0,"Water","Ice","Thick Fat"," Hydration"," Ice Body",NA,NA,NA,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,90,1.7,120,70,80,70,95,70,5120,1000000,70,475,75
"Grimer",88,"Sludge Pokémon","I","Kanto",0,"Poison","Poison","Stench"," Sticky Hold"," Poison Touch"," Poison Touch"," Gluttony"," Power of Alchemy",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,80,0.9,30,80,50,40,50,25,5120,1000000,70,325,190
"Muk",89,"Sludge Pokémon","I","Kanto",0,"Poison","Poison","Stench"," Sticky Hold"," Poison Touch"," Poison Touch"," Gluttony"," Power of Alchemy",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,105,1.2,30,105,75,65,100,50,5120,1000000,70,500,75
"Shellder",90,"Bivalve Pokémon","I","Kanto",0,"Water","None","Shell Armor"," Skill Link"," Overcoat",NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,30,0.3,4,65,100,45,25,40,5120,1250000,70,305,190
"Cloyster",91,"Bivalve Pokémon","I","Kanto",0,"Water","Ice","Shell Armor"," Skill Link"," Overcoat",NA,NA,NA,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,50,1.5,132.5,95,180,85,45,70,5120,1250000,70,525,60
"Gastly",92,"Gas Pokémon","I","Kanto",0,"Ghost","Poison","Levitate",NA,NA,NA,NA,NA,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,30,1.3,0.1,35,30,100,35,80,5120,1059860,70,310,190
"Haunter",93,"Gas Pokémon","I","Kanto",0,"Ghost","Poison","Levitate",NA,NA,NA,NA,NA,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,45,1.6,0.1,50,45,115,55,95,5120,1059860,70,405,90
